Consistencia_Vinculos;VinculoID;1;int;NULL;NO
Consistencia_Vinculos;RecomendacionID;2;int;NULL;NO
Consistencia_Vinculos;CategoriaID;3;int;NULL;NO
CumplimientoEmpresa;CumplimientoID;1;int;NULL;NO
CumplimientoEmpresa;EmpresaID;2;int;NULL;NO
CumplimientoEmpresa;RecomendacionID;3;int;NULL;NO
CumplimientoEmpresa;Estado;4;nvarchar;50;YES
CumplimientoEmpresa;Responsable;5;nvarchar;255;YES
CumplimientoEmpresa;FechaTermino;6;datetime2;NULL;YES
CumplimientoEmpresa;ObservacionesCiberseguridad;7;text;2147483647;YES
CumplimientoEmpresa;ObservacionesLegales;8;text;2147483647;YES
CumplimientoEmpresa;RutaEvidencia;9;nvarchar;-1;YES
CumplimientoEmpresa;UltimaModificacion;10;datetime2;NULL;YES
Empresas;EmpresaID;1;int;NULL;NO
Empresas;InquilinoID;2;int;NULL;NO
Empresas;RazonSocial;3;nvarchar;255;NO
Empresas;RUT;4;nvarchar;15;NO
Empresas;TipoEmpresa;5;nvarchar;50;YES
Empresas;Estado;6;nvarchar;50;NO
Empresas;NombreFantasia;7;nvarchar;255;YES
Empresas;Direccion;8;nvarchar;500;YES
Empresas;Ciudad;9;nvarchar;100;YES
Empresas;Telefono;10;nvarchar;50;YES
Empresas;EmailContacto;11;nvarchar;255;YES
Empresas;RepresentanteLegal;12;nvarchar;255;YES
Empresas;GiroDelNegocio;13;nvarchar;500;YES
Empresas;ContactoTecnico;14;nvarchar;255;YES
Empresas;ContactoComercial;15;nvarchar;255;YES
Empresas;ContactoCobranza;16;nvarchar;255;YES
Empresas;ObservacionesGeneralesAcompañamiento;17;text;2147483647;YES
EvidenciasIncidente;EvidenciaIncidenteID;1;int;NULL;NO
EvidenciasIncidente;IncidenteID;2;int;NULL;NO
EvidenciasIncidente;NombreArchivoOriginal;3;nvarchar;260;NO
EvidenciasIncidente;NombreArchivoAlmacenado;4;nvarchar;260;NO
EvidenciasIncidente;RutaArchivo;5;nvarchar;-1;NO
EvidenciasIncidente;Version;6;int;NULL;NO
EvidenciasIncidente;FechaSubida;7;datetime2;NULL;NO
EvidenciasIncidente;UsuarioQueSubio;8;nvarchar;255;YES
EvidenciasIncidente;SeccionAsociada;9;nvarchar;100;YES
HistorialCumplimiento;HistorialID;1;int;NULL;NO
HistorialCumplimiento;CumplimientoID;2;int;NULL;NO
HistorialCumplimiento;CampoModificado;3;nvarchar;100;NO
HistorialCumplimiento;ValorAnterior;4;nvarchar;-1;YES
HistorialCumplimiento;ValorNuevo;5;nvarchar;-1;YES
HistorialCumplimiento;FechaCambio;6;datetime2;NULL;NO
HistorialCumplimiento;UsuarioCambio;7;nvarchar;255;NO
Incidentes;IncidenteID;1;int;NULL;NO
Incidentes;EmpresaID;2;int;NULL;NO
Incidentes;IDVisible;3;nvarchar;50;YES
Incidentes;Titulo;4;nvarchar;500;NO
Incidentes;DescripcionInicial;5;text;2147483647;YES
Incidentes;FechaDeteccion;6;datetime2;NULL;NO
Incidentes;EstadoActual;7;nvarchar;100;YES
Incidentes;Criticidad;8;nvarchar;50;YES
Incidentes;TipoFlujo;9;nvarchar;50;YES
Incidentes;ResponsableCliente;10;nvarchar;255;YES
Incidentes;SistemasAfectados;11;text;2147483647;YES
Incidentes;OrigenIncidente;12;text;2147483647;YES
Incidentes;AccionesInmediatas;13;text;2147483647;YES
IncidenteTaxonomia;IncidenteID;1;int;NULL;NO
IncidenteTaxonomia;CategoriaID;2;int;NULL;NO
Inquilinos;InquilinoID;1;int;NULL;NO
Inquilinos;RazonSocial;2;nvarchar;255;NO
Inquilinos;RUT;3;nvarchar;15;NO
Inquilinos;NombreFantasia;4;nvarchar;255;YES
Inquilinos;Direccion;5;nvarchar;500;YES
Inquilinos;Ciudad;6;nvarchar;100;YES
Inquilinos;Telefono;7;nvarchar;50;YES
Inquilinos;EmailContacto;8;nvarchar;255;YES
Inquilinos;RepresentanteLegal;9;nvarchar;255;YES
Inquilinos;GiroDelNegocio;10;nvarchar;500;YES
Inquilinos;ContactoTecnico;11;nvarchar;255;YES
Inquilinos;ContactoComercial;12;nvarchar;255;YES
Inquilinos;ContactoCobranza;13;nvarchar;255;YES
Inquilinos;FechaCreacion;14;datetime2;NULL;YES
NovedadesIncidente;NovedadID;1;int;NULL;NO
NovedadesIncidente;IncidenteID;2;int;NULL;NO
NovedadesIncidente;Usuario;3;nvarchar;255;YES
NovedadesIncidente;Descripcion;4;text;2147483647;YES
NovedadesIncidente;FechaNovedad;5;datetime2;NULL;YES
Obligaciones;ObligacionID;1;int;NULL;NO
Obligaciones;ArticuloNorma;2;nvarchar;255;NO
Obligaciones;Descripcion;3;text;2147483647;NO
Obligaciones;Origen;4;nvarchar;255;YES
Obligaciones;AplicaPara;5;nvarchar;50;NO
Obligaciones;TipoExigencia;6;nvarchar;100;YES
Obligaciones;Frecuencia;7;nvarchar;100;YES
Recomendacion_Solucion_Link;RecomendacionID;1;int;NULL;NO
Recomendacion_Solucion_Link;SolucionID;2;int;NULL;NO
Recomendaciones;RecomendacionID;1;int;NULL;NO
Recomendaciones;VerboID;2;int;NULL;NO
Recomendaciones;DescripcionRecomendacion;3;text;2147483647;NO
Recomendaciones;Fuente;4;nvarchar;255;YES
ReportesANCI;ReporteAnciID;1;int;NULL;NO
ReportesANCI;IncidenteID;2;int;NULL;NO
ReportesANCI;AnciTipoAmenaza;3;nvarchar;255;YES
ReportesANCI;AnciImpactoPreliminar;4;nvarchar;-1;YES
ReportesANCI;AnciFechaAlertaTemprana;5;datetime2;NULL;YES
ReportesANCI;EstadoAlertaTemprana;6;nvarchar;50;YES
ReportesANCI;AnciEvolucionIncidente;7;nvarchar;-1;YES
ReportesANCI;AnciMedidasContencion;8;nvarchar;-1;YES
ReportesANCI;AnciPlanAccion;9;nvarchar;-1;YES
ReportesANCI;AnciFechaSegundaNotificacion;10;datetime2;NULL;YES
ReportesANCI;EstadoSegundaNotificacion;11;nvarchar;50;YES
ReportesANCI;AnciResumenEjecutivo;12;nvarchar;-1;YES
ReportesANCI;AnciFechaInicioIncidente;13;datetime2;NULL;YES
ReportesANCI;AnciFechaContencion;14;datetime2;NULL;YES
ReportesANCI;AnciFechaErradicacionRecuperacion;15;datetime2;NULL;YES
ReportesANCI;AnciCausaRaiz;16;nvarchar;-1;YES
ReportesANCI;AnciImpactoFinalServicios;17;nvarchar;-1;YES
ReportesANCI;AnciImpactoFinalDatos;18;nvarchar;-1;YES
ReportesANCI;AnciImpactoFinalSistemasUsuarios;19;nvarchar;-1;YES
ReportesANCI;AnciMedidasMitigacionRecuperacion;20;nvarchar;-1;YES
ReportesANCI;AnciLeccionesAprendidas;21;nvarchar;-1;YES
ReportesANCI;AnciFechaInformeFinal;22;datetime2;NULL;YES
ReportesANCI;EstadoInformeFinal;23;nvarchar;50;YES
ReportesANCI;AnciIoCIPs;24;text;2147483647;YES
ReportesANCI;AnciIoCDominios;25;text;2147483647;YES
ReportesANCI;AnciIoCHashes;26;text;2147483647;YES
ReportesANCI;AnciIoCCorreos;27;text;2147483647;YES
ReportesANCI;AnciIoCOtros;28;text;2147483647;YES
Soluciones;SolucionID;1;int;NULL;NO
Soluciones;NombreSolucion;2;nvarchar;255;NO
Soluciones;DescripcionSolucion;3;text;2147483647;YES
Soluciones;TipoSolucion;4;nvarchar;100;YES
Soluciones;Activo;5;bit;NULL;YES
TaxonomiaAreas;AreaID;1;int;NULL;NO
TaxonomiaAreas;NombreArea;2;nvarchar;255;NO
TaxonomiaCategorias;CategoriaID;1;int;NULL;NO
TaxonomiaCategorias;DescripcionCategoria;2;nvarchar;-1;NO
TaxonomiaCategorias;EfectoID;3;int;NULL;NO
TaxonomiaCategorias;AplicaPara;4;nvarchar;50;NO
TaxonomiaEfectos;EfectoID;1;int;NULL;NO
TaxonomiaEfectos;NombreEfecto;2;nvarchar;255;NO
TaxonomiaEfectos;AreaID;3;int;NULL;NO
Usuarios;UsuarioID;1;int;NULL;NO
Usuarios;Email;2;nvarchar;255;NO
Usuarios;PasswordHash;3;nvarchar;255;NO
Usuarios;Nombre;4;nvarchar;100;YES
Usuarios;Rol;5;nvarchar;50;NO
VerbosRectores;VerboID;1;int;NULL;NO
VerbosRectores;ObligacionID;2;int;NULL;NO
VerbosRectores;NombreVerbo;3;nvarchar;255;NO
VerbosRectores;Orden;4;int;NULL;YES
